Name, InstanceName, ID,FoodGroup,ShortDescrip,Descrip,CommonName,MfgName,ScientificName,Energy_kcal,Protein_g,Fat_g,Carb_g,Sugar_g,Fiber_g,VitA_mcg,VitB6_mg,VitB12_mcg,VitC_mg,VitE_mg,Folate_mcg,Niacin_mg,Riboflavin_mg,Thiamin_mg,Calcium_mg,Copper_mcg,Iron_mg,Magnesium_mg,Manganese_mg,Phosphorus_mg,Selenium_mcg,Zinc_mg,VitA_USRDA,VitB6_USRDA,VitB12_USRDA,VitC_USRDA,VitE_USRDA,Folate_USRDA,Niacin_USRDA,Riboflavin_USRDA,Thiamin_USRDA,Calcium_USRDA,Copper_USRDA,Magnesium_USRDA,Phosphorus_USRDA,Selenium_USRDA,Zinc_USRDA, Cholesterol, MonounsaturatedFat, PolyunsaturatedFat, Potassium, SaturatedFat, Sodium
Cebolla,Cebolla,11282,Vegetables and Vegetable Products,"ONIONS,RAW","Onions, raw",,,Allium cepa,40.0,1.1,0.1,9.34,4.24,1.7,0.0,0.12,0.0,7.4,0.02,19.0,0.116,0.027,0.046,23.0,0.039,0.21,10.0,0.129,29.0,0.5,0.17,0.0,0.07058823529411765,0.0,0.08222222222222222,0.0013333333333333333,0.0475,0.00725,0.02076923076923077,0.03833333333333334,0.019166666666666665,4.3333333333333334e-05,0.023809523809523808,0.041428571428571426,0.00909090909090909,0.015454545454545455,0.0,0.013,0.017,146.0,0.042,4.0
Champiñon,Champinon,11265,Vegetables and Vegetable Products,"MUSHROOMS,PORTABELLA,RAW","Mushrooms, portabella, raw",Portabello,,Agaricus bisporus,22.0,2.11,0.35,3.87,2.5,1.3,0.0,0.148,0.05,0.0,0.02,28.0,4.494,0.13,0.059,3.0,0.286,0.31,0.0,0.069,108.0,18.6,0.53,0.0,0.08705882352941176,0.020833333333333336,0.0,0.0013333333333333333,0.07,0.280875,0.1,0.049166666666666664,0.0025,0.0003177777777777778,0.0,0.15428571428571428,0.3381818181818182,0.04818181818181819,0.0,0.044,0.296,364.0,0.010,9.0
Codillo,Codillo,23030,Beef Products,"BEEF,RND,KNUCKLE,TIP SIDE,STEAK,LN & FAT,0"" FAT,CHOIC,RAW","Beef, round, knuckle, tip side, steak, separable lean and fat, trimmed to 0"" fat, choice, raw","URMIS #2358, Beef Value Cut, Sirloin Tip Steak, Vastas Lateralis",,,133.0,21.41,4.66,0.0,0.0,0.0,0.0,0.612,3.17,0.0,0.17,7.0,5.455,0.17,0.059,5.0,0.093,2.14,24.0,0.011,213.0,31.4,4.97,0.0,0.36,1.3208333333333333,0.0,0.011333333333333334,0.0175,0.3409375,0.13076923076923078,0.049166666666666664,0.004166666666666667,0.00010333333333333333,0.05714285714285714,0.30428571428571427,0.5709090909090909,0.4518181818181818,61.0,2.152,0.277,378.0,1.755,62.0
Cola bacalao,ColaBacalao,15045,Finfish and Shellfish Products,"LINGCOD,RAW","Fish, lingcod, raw",,,Ophiodon elongatus Girard,85.0,17.66,1.06,0.0,0.0,0.0,15.0,0.3,3.6,0.0,0.0,9.0,1.9,0.114,0.03,14.0,0.027,0.32,26.0,0.02,201.0,36.5,0.45,0.016666666666666666,0.17647058823529413,1.5,0.0,0.0,0.0225,0.11875,0.0876923076923077,0.025,0.011666666666666667,3e-05,0.06190476190476191,0.28714285714285714,0.6636363636363637,0.04090909090909091,52.0,0.350,0.300.0,437.0,0.197,59.0
Conejo,Conejo,17181,"Lamb, Veal, and Game Products","GAME MEAT,RABBIT,WILD,CKD,STWD","Game meat, rabbit, wild, cooked, stewed",,,,173.0,33.02,3.51,0.0,0.0,0.0,0.0,0.34,6.51,0.0,0.41,8.0,6.4,0.07,0.02,18.0,0.176,4.85,31.0,0.0,240.0,15.2,2.38,0.0,0.2,2.7125,0.0,0.02733333333333333,0.02,0.4,0.05384615384615385,0.016666666666666666,0.015,0.00019555555555555553,0.07380952380952381,0.34285714285714286,0.27636363636363637,0.21636363636363634,123.0,0.950,0.680,343.0,1.050,45.0
Escarola,Escarola,11213,Vegetables and Vegetable Products,"ENDIVE,RAW","Endive, raw",,,Cichorium endivia,17.0,1.25,0.2,3.35,0.25,3.1,108.0,0.02,0.0,6.5,0.44,142.0,0.4,0.075,0.08,52.0,0.099,0.83,15.0,0.42,28.0,0.2,0.79,0.12,0.011764705882352941,0.0,0.07222222222222222,0.029333333333333333,0.355,0.025,0.05769230769230769,0.06666666666666667,0.043333333333333335,0.00011,0.03571428571428571,0.04,0.0036363636363636364,0.07181818181818182,0.0,0.004,0.087,314.0,0.048,22.0
Espinaca,Espinaca,11457,Vegetables and Vegetable Products,"SPINACH,RAW","Spinach, raw",,,Spinacia oleracea,23.0,2.86,0.39,3.63,0.42,2.2,469.0,0.195,0.0,28.1,2.03,194.0,0.724,0.189,0.078,99.0,0.13,2.71,79.0,0.897,49.0,1.0,0.53,0.5211111111111111,0.11470588235294119,0.0,0.31222222222222223,0.13533333333333333,0.485,0.04525,0.1453846153846154,0.065,0.0825,0.00014444444444444444,0.1880952380952381,0.07,0.01818181818181818,0.04818181818181819,0.0,0.010,0.165,558.0,0.063,79.0
Fresa,Fresa,19137,Sweets,"TOPPINGS,STRAWBERRY","Toppings, strawberry",,,,254.0,0.2,0.1,66.3,27.38,0.7,1.0,0.012,0.0,13.7,0.1,6.0,0.161,0.024,0.011,6.0,0.032,0.28,4.0,0.167,5.0,0.8,0.06,0.0011111111111111111,0.007058823529411765,0.0,0.1522222222222222,0.006666666666666667,0.015,0.0100625,0.01846153846153846,0.009166666666666667,0.005,3.555555555555555e-05,0.009523809523809525,0.007142857142857143,0.014545454545454545,0.005454545454545454,0.0,0.014,0.050,51.0,0.005,21.0
Gamba,Gamba,15141,Finfish and Shellfish Products,"CRAB,BLUE,CANNED","Crustaceans, crab, blue, canned",,,,83.0,17.88,0.74,0.0,0.0,0.0,1.0,0.156,3.33,3.3,1.84,51.0,2.747,0.093,0.023,91.0,0.814,0.5,36.0,0.074,234.0,42.9,3.81,0.0011111111111111111,0.09176470588235294,1.3875000000000002,0.03666666666666667,0.12266666666666667,0.1275,0.1716875,0.07153846153846154,0.01916666666666667,0.07583333333333334,0.0009044444444444444,0.08571428571428572,0.3342857142857143,0.78,0.3463636363636364,97.0,0.129,0.258,259.0,0.201,563.0
Garbanzo,Garbanzo,16157,Legumes and Legume Products,CHICKPEA FLOUR (BESAN),Chickpea flour (besan),,,,387.0,22.39,6.69,57.82,10.85,10.8,2.0,0.492,0.0,0.0,0.83,437.0,1.762,0.106,0.486,45.0,0.912,4.86,166.0,1.6,318.0,8.3,2.81,0.0022222222222222222,0.28941176470588237,0.0,0.0,0.05533333333333333,1.0925,0.110125,0.08153846153846153,0.405,0.0375,0.0010133333333333333,0.3952380952380952,0.4542857142857143,0.1509090909090909,0.25545454545454543,0.0,1.504,2.983,846.0,0.693,64.0
Guisante,Guisante,11304,Vegetables and Vegetable Products,"PEAS,GREEN,RAW","Peas, green, raw",,,Pisum sativum,81.0,5.42,0.4,14.45,5.67,5.1,38.0,0.169,0.0,40.0,0.13,65.0,2.09,0.132,0.266,25.0,0.176,1.47,33.0,0.41,108.0,1.8,1.24,0.042222222222222223,0.09941176470588237,0.0,0.4444444444444444,0.008666666666666666,0.1625,0.130625,0.10153846153846154,0.22166666666666668,0.020833333333333332,0.00019555555555555553,0.07857142857142857,0.15428571428571428,0.03272727272727273,0.11272727272727273,0.0,0.035,0.187,244.0,0.071,5.0
Harina,Harina,20129,Cereal Grains and Pasta,"WHEAT FLOURS,BREAD,UNENR","Wheat flours, bread, unenriched",,,,361.0,11.98,1.66,72.53,0.31,2.4,0.0,0.037,0.0,0.0,0.4,33.0,1.0,0.06,0.08,15.0,0.182,0.9,25.0,0.792,97.0,39.7,0.85,0.0,0.02176470588235294,0.0,0.0,0.02666666666666667,0.0825,0.0625,0.04615384615384615,0.06666666666666667,0.0125,0.0002022222222222222,0.05952380952380952,0.13857142857142857,0.7218181818181819,0.07727272727272727,0.0,0.140,0.727,100,0.244,2.0
Higo,Higo,09089,Fruits and Fruit Juices,"FIGS,RAW","Figs, raw",,,Ficus carica,74.0,0.75,0.3,19.18,16.26,2.9,7.0,0.113,0.0,2.0,0.11,6.0,0.4,0.05,0.06,35.0,0.07,0.37,17.0,0.128,14.0,0.2,0.15,0.0077777777777777776,0.06647058823529411,0.0,0.022222222222222223,0.007333333333333333,0.015,0.025,0.038461538461538464,0.05,0.029166666666666667,7.777777777777778e-05,0.04047619047619048,0.02,0.0036363636363636364,0.013636363636363636,0.0,0.066,0.144,232,0.060,1.0
Leche,Leche,01089,Dairy and Egg Products,"MILK,LO NA,FLUID","Milk, low sodium, fluid",,,,61.0,3.1,3.46,4.46,4.46,0.0,29.0,0.034,0.36,0.9,0.08,5.0,0.043,0.105,0.02,101.0,0.01,0.05,5.0,0.004,86.0,2.0,0.38,0.03222222222222222,0.02,0.15,0.01,0.005333333333333333,0.0125,0.0026875,0.08076923076923076,0.016666666666666666,0.08416666666666667,1.1111111111111112e-05,0.011904761904761904,0.12285714285714286,0.03636363636363636,0.034545454545454546,14.0,0.999,0.128,253.0,2.154,3.0
Leche de oveja,LecheOveja,01089,Dairy and Egg Products,"MILK,LO NA,FLUID","Milk, low sodium, fluid",,,,61.0,3.1,3.46,4.46,4.46,0.0,29.0,0.034,0.36,0.9,0.08,5.0,0.043,0.105,0.02,101.0,0.01,0.05,5.0,0.004,86.0,2.0,0.38,0.03222222222222222,0.02,0.15,0.01,0.005333333333333333,0.0125,0.0026875,0.08076923076923076,0.016666666666666666,0.08416666666666667,1.1111111111111112e-05,0.011904761904761904,0.12285714285714286,0.03636363636363636,0.034545454545454546,14.0,0.999,0.128,253.0,2.154,3.0
Lechuga,Lechuga,11251,Vegetables and Vegetable Products,"LETTUCE,COS OR ROMAINE,RAW","Lettuce, cos or romaine, raw",,,Lactuca sativa var. logifolia,17.0,1.23,0.3,3.29,1.19,2.1,436.0,0.074,0.0,4.0,0.13,136.0,0.313,0.067,0.072,33.0,0.048,0.97,14.0,0.155,30.0,0.4,0.23,0.48444444444444446,0.04352941176470588,0.0,0.044444444444444446,0.008666666666666666,0.34,0.0195625,0.05153846153846154,0.06,0.0275,5.333333333333333e-05,0.03333333333333333,0.04285714285714286,0.007272727272727273,0.02090909090909091,0.0,0.012,0.160,247.0,0.039,8.0
Levadura,Levadura,43406,Vegetables and Vegetable Products,YEAST EXTRACT SPREAD,Yeast extract spread,,,,185.0,23.88,0.9,20.42,1.6,6.5,0.0,0.0,0.5,0.0,0.0,5881.0,127.5,17.5,23.375,67.0,0.245,4.04,180.0,0.261,104.0,27.6,4.19,0.0,0.0,0.20833333333333334,0.0,0.0,14.7025,7.96875,13.461538461538462,19.479166666666668,0.05583333333333333,0.0002722222222222222,0.42857142857142855,0.14857142857142858,0.5018181818181818,0.3809090909090909,0.0,0.0,0.0,2100.0,0.0,3380.0
Mango,Mango,09176,Fruits and Fruit Juices,"MANGOS,RAW","Mangos, raw",,,Mangifera indica,60.0,0.82,0.38,14.98,13.66,1.6,54.0,0.119,0.0,36.4,0.9,43.0,0.669,0.038,0.028,11.0,0.111,0.16,10.0,0.063,14.0,0.6,0.09,0.06,0.06999999999999999,0.0,0.40444444444444444,0.060000000000000005,0.1075,0.0418125,0.02923076923076923,0.023333333333333334,0.009166666666666667,0.00012333333333333334,0.023809523809523808,0.02,0.010909090909090908,0.00818181818181818,0.0,0.140,0.071,168.0,0.092,1.0
Membrillo,Membrillo,09296,Fruits and Fruit Juices,"QUINCES,RAW","Quinces, raw",,,Cydonia oblonga,57.0,0.4,0.1,15.3,0.0,1.9,2.0,0.04,0.0,15.0,0.0,3.0,0.2,0.03,0.02,11.0,0.13,0.7,8.0,0.0,17.0,0.6,0.04,0.0022222222222222222,0.023529411764705882,0.0,0.16666666666666666,0.0,0.0075,0.0125,0.023076923076923075,0.016666666666666666,0.009166666666666667,0.00014444444444444444,0.01904761904761905,0.024285714285714285,0.010909090909090908,0.0036363636363636364,0.0,0.036,0.050,197.0,0.010,4.0
Miel,Miel,19296,Sweets,HONEY,Honey,,,,304.0,0.3,0.0,82.4,82.12,0.2,0.0,0.024,0.0,0.5,0.0,2.0,0.121,0.038,0.0,6.0,0.036,0.42,2.0,0.08,4.0,0.8,0.22,0.0,0.01411764705882353,0.0,0.005555555555555556,0.0,0.005,0.0075625,0.02923076923076923,0.0,0.005,3.9999999999999996e-05,0.004761904761904762,0.005714285714285714,0.014545454545454545,0.02,0.0,0.0,0.0,52.0,0.0,4.0
Mora,Mora,09042,Fruits and Fruit Juices,"BLACKBERRIES,RAW","Blackberries, raw",,,Rubus spp.,43.0,1.39,0.49,9.61,4.88,5.3,11.0,0.03,0.0,21.0,1.17,25.0,0.646,0.026,0.02,29.0,0.165,0.62,20.0,0.646,22.0,0.4,0.53,0.012222222222222223,0.01764705882352941,0.0,0.23333333333333334,0.078,0.0625,0.040375,0.019999999999999997,0.016666666666666666,0.024166666666666666,0.00018333333333333334,0.047619047619047616,0.03142857142857143,0.007272727272727273,0.04818181818181819,0.0,0.047,0.280,162.0,0.014,1.0
Mostaza,Mostaza,02046,Spices and Herbs,"MUSTARD,PREPARED,YELLOW","Mustard, prepared, yellow",,,,60.0,3.74,3.34,5.83,0.92,4.0,5.0,0.07,0.0,0.3,0.36,7.0,0.565,0.07,0.177,63.0,0.074,1.61,48.0,0.422,108.0,33.5,0.64,0.005555555555555556,0.0411764705882353,0.0,0.003333333333333333,0.024,0.0175,0.0353125,0.05384615384615385,0.1475,0.0525,8.222222222222222e-05,0.11428571428571428,0.15428571428571428,0.6090909090909091,0.05818181818181818,0.0,2.182,0.774,152.0,0.214,1104.0
